length,gamut,line
24,32,"[0, 2, 4, 5, 7, 7, 9, 9, 11, 11, 12, 11, 9, 11, 11, 11, 9, 11, 9, 7, 5, 4, 2, 0]"
24,32,"[0, 2, 4, 2, 4, 5, 7, 9, 11, 12, 11, 11, 9, 7, 5, 4, 5, 5, 5, 4, 5, 4, 2, 0]"
28,8,"[0, 2, 0, 2, 4, 2, 2, 0, 0, 0, 2, 0, 2, 4, 5, 7, 5, 5, 5, 4, 4, 5, 5, 4, 2, 0, 2, 0]"
28,8,"[0, 0, 2, 4, 4, 4, 5, 5, 4, 2, 2, 4, 2, 2, 0, 2, 4, 5, 7, 5, 4, 4, 4, 2, 4, 2, 2, 0]"
28,8,"[0, 0, 2, 0, 2, 0, 2, 0, 2, 0, 0, 2, 4, 5, 7, 5, 4, 2, 0, 0, 0, 2, 0, 2, 0, 0, 2, 0]"
28,8,"[0, 0, 2, 0, 2, 4, 2, 4, 4, 5, 5, 7, 5, 4, 2, 0, 0, 2, 4, 5, 4, 2, 2, 0, 2, 0, 2, 0]"
28,8,"[0, 2, 4, 4, 2, 4, 2, 4, 2, 0, 2, 0, 0, 0, 2, 4, 5, 7, 5, 4, 2, 0, 0, 2, 2, 0, 2, 0]"
28,12,"[0, 2, 0, 2, 4, 4, 2, 0, 2, 0, 2, 4, 4, 5, 4, 4, 5, 4, 4, 5, 7, 5, 4, 4, 2, 0, 2, 0]"
28,12,"[0, 2, 0, 0, 2, 4, 2, 4, 5, 4, 2, 2, 0, 2, 4, 2, 4, 5, 7, 5, 4, 2, 0, 0, 0, 0, 2, 0]"
28,12,"[0, 2, 2, 2, 0, 0, 2, 0, 2, 4, 4, 5, 7, 5, 4, 2, 4, 4, 2, 0, 2, 4, 2, 4, 2, 4, 2, 0]"
28,12,"[0, 0, 2, 4, 2, 0, 2, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2, 4, 5, 5, 7, 5, 4, 2, 0]"
28,12,"[0, 0, 2, 2, 0, 0, 0, 0, 2, 4, 5, 5, 5, 4, 2, 0, 2, 2, 4, 5, 7, 5, 4, 2, 0, 0, 2, 0]"
28,16,"[0, 0, 2, 4, 2, 2, 0, 2, 2, 0, 0, 2, 0, 2, 4, 4, 5, 7, 9, 11, 12, 11, 9, 7, 5, 4, 2, 0]"
28,16,"[0, 2, 4, 4, 4, 2, 0, 0, 2, 0, 0, 2, 4, 5, 4, 4, 5, 7, 9, 11, 12, 11, 9, 7, 5, 4, 2, 0]"
28,16,"[0, 2, 4, 2, 4, 5, 7, 7, 9, 11, 12, 11, 11, 9, 7, 5, 4, 2, 0, 2, 2, 0, 0, 0, 0, 2, 2, 0]"
28,16,"[0, 2, 4, 5, 7, 9, 11, 9, 9, 11, 9, 11, 12, 11, 11, 9, 7, 5, 4, 2, 4, 4, 5, 4, 2, 4, 2, 0]"
28,16,"[0, 2, 4, 5, 5, 5, 7, 9, 11, 12, 11, 9, 7, 5, 4, 4, 4, 5, 7, 5, 5, 5, 4, 2, 2, 4, 2, 0]"
28,20,"[0, 2, 0, 0, 2, 4, 5, 7, 9, 7, 7, 7, 7, 5, 4, 5, 7, 9, 11, 12, 11, 9, 7, 5, 4, 4, 2, 0]"
28,20,"[0, 2, 4, 5, 4, 2, 0, 2, 4, 5, 7, 9, 7, 9, 9, 11, 12, 11, 9, 11, 9, 7, 5, 4, 5, 4, 2, 0]"
28,20,"[0, 2, 4, 5, 4, 2, 0, 2, 4, 5, 7, 5, 7, 9, 9, 9, 7, 7, 9, 11, 12, 11, 9, 7, 5, 4, 2, 0]"
28,20,"[0, 0, 2, 0, 2, 0, 2, 4, 5, 4, 2, 4, 5, 7, 9, 11, 12, 11, 9, 7, 5, 4, 2, 0, 0, 2, 2, 0]"
28,20,"[0, 2, 0, 2, 0, 2, 0, 2, 0, 2, 4, 5, 4, 4, 4, 4, 5, 7, 9, 11, 12, 11, 9, 7, 5, 4, 2, 0]"
28,24,"[0, 2, 4, 5, 4, 5, 5, 4, 2, 4, 4, 2, 0, 2, 4, 5, 7, 9, 11, 12, 11, 11, 9, 7, 5, 4, 2, 0]"
28,24,"[0, 2, 4, 5, 7, 9, 11, 11, 11, 11, 11, 9, 11, 9, 11, 12, 11, 9, 9, 11, 9, 7, 5, 4, 2, 0, 2, 0]"
28,24,"[0, 2, 4, 2, 4, 5, 7, 9, 11, 11, 12, 11, 9, 9, 7, 9, 7, 5, 4, 2, 0, 0, 2, 0, 0, 2, 2, 0]"
28,24,"[0, 2, 4, 5, 7, 5, 7, 9, 11, 9, 7, 5, 4, 5, 7, 9, 11, 12, 11, 9, 7, 5, 4, 2, 2, 4, 2, 0]"
28,24,"[0, 2, 4, 5, 4, 2, 4, 4, 5, 7, 9, 11, 12, 11, 9, 9, 7, 9, 7, 5, 4, 2, 4, 2, 0, 2, 2, 0]"
28,28,"[0, 2, 4, 5, 7, 9, 7, 9, 11, 9, 9, 11, 11, 9, 7, 9, 11, 12, 11, 9, 7, 5, 4, 2, 4, 2, 2, 0]"
28,28,"[0, 2, 2, 0, 0, 0, 0, 2, 2, 0, 2, 4, 5, 7, 9, 11, 12, 11, 9, 7, 5, 4, 2, 2, 2, 4, 2, 0]"
28,28,"[0, 2, 4, 2, 2, 0, 0, 0, 2, 4, 5, 4, 5, 7, 9, 11, 12, 11, 9, 11, 11, 9, 9, 7, 5, 4, 2, 0]"
28,28,"[0, 0, 2, 2, 0, 2, 2, 4, 5, 7, 9, 11, 12, 11, 9, 7, 5, 4, 4, 2, 0, 2, 0, 0, 2, 4, 2, 0]"
28,28,"[0, 2, 4, 5, 7, 9, 11, 12, 11, 9, 11, 9, 7, 7, 9, 9, 11, 9, 7, 5, 4, 2, 4, 2, 0, 2, 2, 0]"
28,32,"[0, 2, 4, 5, 7, 9, 11, 12, 11, 9, 9, 7, 5, 4, 2, 0, 2, 4, 5, 7, 5, 4, 5, 7, 5, 4, 2, 0]"
28,32,"[0, 2, 4, 5, 4, 2, 4, 5, 7, 9, 11, 12, 11, 9, 7, 5, 4, 2, 0, 2, 0, 2, 4, 5, 4, 4, 2, 0]"
28,32,"[0, 2, 0, 2, 4, 5, 7, 9, 11, 12, 11, 9, 9, 7, 5, 4, 2, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0]"
28,32,"[0, 2, 4, 5, 7, 9, 11, 12, 11, 9, 7, 5, 4, 5, 4, 2, 0, 2, 0, 2, 0, 2, 0, 2, 0, 0, 2, 0]"
28,32,"[0, 2, 4, 4, 2, 2, 0, 2, 4, 5, 7, 9, 11, 12, 11, 11, 9, 7, 7, 5, 4, 2, 0, 2, 4, 4, 2, 0]"
32,8,"[0, 0, 0, 0, 0, 0, 0, 2, 4, 5, 4, 2, 0, 0, 2, 4, 5, 7, 5, 4, 5, 4, 2, 0, 0, 0, 2, 0, 2, 0, 2, 0]"
32,8,"[0, 0, 2, 0, 2, 4, 2, 2, 0, 0, 0, 0, 0, 2, 4, 5, 5, 5, 4, 2, 2, 4, 5, 7, 5, 4, 2, 0, 2, 0, 2, 0]"
32,8,"[0, 2, 4, 5, 5, 5, 7, 5, 4, 2, 0, 2, 4, 5, 4, 5, 4, 4, 2, 0, 0, 2, 4, 5, 4, 2, 0, 2, 2, 0, 2, 0]"
32,8,"[0, 2, 2, 4, 5, 7, 5, 5, 4, 4, 2, 0, 2, 0, 2, 0, 0, 2, 4, 2, 0, 0, 0, 2, 0, 2, 0, 0, 0, 2, 2, 0]"
32,8,"[0, 2, 2, 0, 0, 2, 4, 2, 4, 5, 7, 5, 5, 4, 4, 2, 0, 2, 0, 2, 4, 4, 2, 0, 2, 0, 0, 2, 4, 4, 2, 0]"
32,12,"[0, 0, 2, 0, 0, 0, 2, 4, 5, 4, 4, 2, 4, 5, 5, 4, 2, 0, 0, 0, 2, 4, 5, 7, 5, 4, 4, 2, 0, 2, 2, 0]"
32,12,"[0, 0, 2, 4, 2, 0, 2, 2, 0, 2, 0, 0, 2, 2, 0, 2, 2, 0, 0, 2, 4, 2, 4, 5, 7, 5, 5, 5, 5, 4, 2, 0]"
