length,gamut,line
4,16,"[7, 12, 11, 11, 11, 11, 9, 7]"
4,16,"[7, 12, 11, 11, 9, 9, 9, 7]"
4,16,"[7, 12, 11, 11, 9, 11, 9, 7]"
4,16,"[12, 9, 11, 11, 11, 9, 9, 7]"
4,16,"[12, 9, 11, 11, 9, 11, 9, 7]"
4,20,"[12, 9, 11, 11, 9, 11, 9, 7]"
4,20,"[7, 12, 11, 11, 11, 11, 9, 7]"
4,20,"[12, 9, 11, 11, 9, 9, 9, 7]"
4,20,"[7, 12, 11, 11, 9, 9, 9, 7]"
4,20,"[7, 12, 11, 11, 9, 11, 9, 7]"
4,24,"[7, 12, 11, 11, 11, 11, 9, 7]"
4,24,"[7, 12, 11, 11, 9, 11, 9, 7]"
4,24,"[7, 12, 11, 11, 9, 9, 9, 7]"
4,24,"[12, 9, 11, 11, 11, 9, 9, 7]"
4,24,"[12, 9, 11, 11, 11, 11, 9, 7]"
4,28,"[7, 12, 11, 11, 11, 11, 9, 7]"
4,28,"[7, 12, 11, 11, 9, 11, 9, 7]"
4,28,"[12, 9, 11, 11, 11, 11, 9, 7]"
4,28,"[12, 9, 11, 11, 9, 9, 9, 7]"
4,28,"[7, 12, 11, 11, 11, 9, 9, 7]"
4,32,"[7, 12, 11, 11, 9, 9, 9, 7]"
4,32,"[12, 9, 11, 11, 11, 9, 9, 7]"
4,32,"[7, 12, 11, 11, 9, 11, 9, 7]"
4,32,"[12, 9, 11, 11, 9, 9, 9, 7]"
4,32,"[7, 12, 11, 11, 11, 11, 9, 7]"
8,16,"[12, 9, 9, 11, 11, 11, 9, 9, 9, 9, 9, 9, 9, 11, 9, 7]"
8,16,"[12, 9, 11, 9, 11, 11, 9, 9, 9, 11, 9, 9, 11, 9, 9, 7]"
8,16,"[12, 9, 11, 9, 11, 11, 11, 11, 11, 9, 9, 11, 9, 11, 9, 7]"
8,16,"[7, 12, 11, 11, 11, 11, 11, 11, 9, 11, 11, 11, 9, 11, 9, 7]"
8,16,"[12, 9, 11, 9, 11, 11, 9, 9, 11, 9, 11, 11, 9, 9, 9, 7]"
8,20,"[12, 9, 9, 11, 11, 11, 9, 11, 9, 7, 7, 9, 9, 9, 9, 7]"
8,20,"[7, 9, 9, 9, 11, 11, 9, 11, 9, 7, 9, 12, 11, 9, 9, 7]"
8,20,"[7, 9, 11, 9, 11, 11, 9, 9, 7, 9, 9, 12, 11, 9, 9, 7]"
8,20,"[7, 9, 9, 9, 11, 11, 11, 11, 12, 9, 9, 9, 11, 9, 9, 7]"
8,20,"[7, 9, 11, 11, 11, 11, 9, 11, 9, 7, 9, 12, 11, 11, 9, 7]"
8,24,"[12, 7, 9, 9, 7, 9, 9, 9, 11, 11, 11, 9, 9, 11, 9, 7]"
8,24,"[7, 9, 9, 11, 9, 12, 11, 11, 11, 11, 11, 9, 11, 9, 9, 7]"
8,24,"[7, 9, 11, 11, 12, 9, 11, 9, 11, 11, 9, 11, 11, 11, 9, 7]"
8,24,"[7, 12, 11, 9, 9, 7, 9, 9, 11, 11, 11, 9, 9, 9, 9, 7]"
8,24,"[7, 12, 11, 9, 9, 7, 9, 11, 11, 11, 9, 9, 9, 9, 9, 7]"
8,28,"[12, 7, 9, 9, 11, 9, 7, 9, 9, 11, 11, 11, 9, 9, 9, 7]"
8,28,"[12, 9, 9, 11, 11, 9, 7, 9, 9, 11, 11, 11, 11, 9, 9, 7]"
8,28,"[7, 9, 11, 9, 11, 11, 12, 9, 11, 9, 11, 11, 9, 11, 9, 7]"
8,28,"[12, 9, 9, 9, 9, 9, 9, 7, 9, 9, 11, 11, 9, 9, 9, 7]"
8,28,"[7, 12, 11, 11, 9, 9, 7, 9, 9, 11, 11, 11, 11, 9, 9, 7]"
8,32,"[7, 12, 11, 9, 9, 9, 11, 11, 9, 9, 11, 11, 9, 11, 9, 7]"
8,32,"[7, 9, 11, 9, 7, 12, 11, 11, 11, 9, 11, 11, 11, 9, 9, 7]"
8,32,"[7, 9, 11, 11, 9, 12, 11, 9, 9, 9, 11, 11, 11, 11, 9, 7]"
8,32,"[7, 12, 11, 9, 9, 9, 9, 11, 11, 9, 11, 11, 11, 11, 9, 7]"
8,32,"[7, 7, 9, 9, 7, 12, 11, 9, 11, 11, 11, 11, 9, 11, 9, 7]"
12,16,"[7, 9, 11, 9, 11, 11, 11, 11, 11, 11, 9, 9, 11, 11, 9, 12, 11, 11, 11, 11, 9, 9, 9, 7]"
12,16,"[7, 12, 11, 9, 11, 11, 9, 11, 11, 11, 9, 9, 11, 11, 9, 9, 11, 11, 11, 11, 9, 11, 9, 7]"
12,16,"[7, 7, 9, 11, 11, 11, 9, 11, 11, 11, 9, 12, 11, 11, 9, 9, 11, 11, 11, 11, 9, 11, 9, 7]"
12,16,"[7, 7, 9, 9, 11, 11, 9, 11, 11, 11, 12, 9, 11, 11, 9, 9, 11, 11, 11, 11, 9, 9, 9, 7]"
12,16,"[7, 12, 11, 9, 11, 11, 9, 11, 11, 11, 9, 9, 11, 11, 9, 9, 11, 11, 11, 11, 11, 9, 9, 7]"
12,20,"[12, 9, 9, 11, 11, 11, 9, 9, 9, 9, 11, 11, 9, 9, 11, 11, 11, 9, 11, 11, 11, 9, 9, 7]"
12,20,"[7, 9, 11, 9, 11, 11, 12, 9, 9, 9, 11, 11, 9, 9, 11, 11, 9, 9, 11, 11, 9, 9, 9, 7]"
12,20,"[7, 7, 9, 11, 11, 11, 9, 9, 9, 9, 11, 11, 9, 12, 11, 11, 9, 9, 11, 11, 11, 11, 9, 7]"
12,20,"[12, 7, 9, 9, 11, 11, 9, 9, 9, 9, 11, 11, 9, 9, 11, 11, 9, 11, 11, 11, 9, 11, 9, 7]"
12,20,"[7, 9, 9, 11, 11, 11, 9, 9, 9, 12, 11, 11, 9, 9, 11, 11, 11, 9, 11, 11, 11, 11, 9, 7]"
12,24,"[7, 12, 11, 9, 9, 9, 11, 9, 11, 11, 9, 9, 11, 11, 9, 9, 11, 11, 9, 9, 11, 9, 9, 7]"
12,24,"[7, 9, 9, 11, 9, 7, 9, 11, 11, 11, 9, 12, 11, 11, 9, 9, 11, 11, 11, 9, 11, 11, 9, 7]"
12,24,"[7, 9, 9, 9, 7, 9, 11, 11, 11, 11, 12, 9, 11, 11, 9, 9, 11, 11, 9, 11, 9, 9, 9, 7]"
12,24,"[7, 9, 9, 11, 9, 9, 9, 9, 11, 11, 9, 9, 11, 11, 9, 12, 11, 11, 9, 11, 11, 11, 9, 7]"
12,24,"[7, 12, 11, 11, 9, 9, 11, 9, 11, 11, 9, 9, 11, 11, 9, 9, 11, 11, 11, 11, 11, 9, 9, 7]"
12,28,"[7, 9, 7, 9, 11, 9, 11, 11, 9, 9, 9, 9, 11, 11, 9, 9, 9, 12, 11, 11, 9, 11, 9, 7]"
12,28,"[7, 9, 7, 9, 9, 11, 11, 11, 9, 9, 9, 9, 11, 11, 12, 9, 9, 9, 11, 11, 9, 11, 9, 7]"
12,28,"[7, 7, 9, 12, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 9, 9, 9, 9, 11, 11, 9, 11, 9, 7]"
12,28,"[7, 7, 7, 9, 9, 9, 11, 11, 9, 9, 9, 12, 11, 11, 9, 9, 9, 9, 11, 11, 9, 11, 9, 7]"
12,28,"[7, 9, 7, 9, 11, 11, 11, 11, 9, 9, 9, 9, 11, 11, 9, 9, 9, 12, 11, 11, 11, 9, 9, 7]"
12,32,"[7, 9, 9, 9, 11, 11, 9, 9, 11, 11, 9, 12, 11, 11, 9, 11, 11, 11, 11, 11, 9, 9, 9, 7]"
12,32,"[7, 12, 11, 11, 11, 11, 9, 9, 11, 11, 9, 9, 11, 11, 9, 9, 9, 9, 11, 11, 11, 11, 9, 7]"
12,32,"[12, 9, 9, 11, 11, 11, 9, 9, 11, 11, 9, 9, 11, 11, 11, 11, 11, 9, 11, 11, 9, 11, 9, 7]"
12,32,"[7, 9, 9, 11, 11, 11, 9, 9, 11, 11, 9, 12, 11, 11, 11, 9, 9, 11, 11, 11, 11, 11, 9, 7]"
12,32,"[7, 9, 11, 9, 11, 11, 9, 12, 11, 11, 9, 9, 11, 11, 9, 9, 11, 11, 11, 11, 9, 11, 9, 7]"
16,16,"[7, 12, 11, 11, 11, 11, 9, 9, 11, 11, 5, 5, 4, 2, 2, 2, 0, 0, 2, 4, 5, 5, 11, 11, 9, 9, 11, 11, 11, 9, 9, 7]"
16,16,"[7, 12, 11, 9, 11, 11, 9, 9, 11, 11, 5, 5, 4, 2, 4, 2, 0, 0, 2, 4, 5, 5, 11, 11, 9, 9, 11, 11, 11, 9, 9, 7]"
16,16,"[7, 9, 9, 11, 11, 11, 9, 9, 11, 11, 5, 5, 4, 4, 2, 2, 0, 0, 2, 4, 5, 5, 11, 11, 9, 12, 11, 11, 11, 11, 9, 7]"
16,16,"[7, 9, 9, 9, 11, 11, 9, 9, 11, 11, 5, 5, 4, 4, 4, 2, 0, 0, 2, 4, 5, 5, 11, 11, 9, 12, 11, 11, 9, 11, 9, 7]"
16,16,"[7, 9, 9, 11, 11, 11, 9, 12, 11, 11, 5, 5, 4, 4, 2, 2, 0, 0, 2, 4, 5, 5, 11, 11, 9, 9, 11, 11, 9, 11, 9, 7]"
